"Data...1." "N" "NSE" "M" "MSE" "R" "RSE" "L" "LSE"
"79" 79 2.80531414686139 1.05970713918472 5.00916448526282 0.972556314406607 3.74848243069703 0.811094391941201 7.05495327154899 0.115899604690043
"80" 80 2.95587237944553 1.05709444678776 5.22158790831737 0.969257027254208 4.65034395739643 0.829050880568203 6.81326848102964 0.081888517450024
"81" 81 4.91499160900745 1.05870269238458 5.61833309647295 0.981881677641533 5.1422458558719 0.821857825801517 4.38878437869695 0.0833677785692445
"82" 82 5.47498507313735 1.05852611246827 7.06621095941197 0.98378013025952 6.11268035796806 0.830029814242507 5.25514043544789 0.0898093964038863
"83" 83 2.60864627905339 1.05821820390269 7.82149172327833 0.979972658107656 3.51149902059488 0.823824783826661 6.4769746101957 0.110072075548006
"84" 84 2.52940661694972 1.06054502712006 7.51387979587723 1.02249962252977 3.0069882613549 0.868464189727252 6.6104853261775 0.14708283482022
"85" 85 4.21125278506445 1.06865906502007 8.08134829588143 0.985678267488889 5.89220782916894 0.831300427371227 6.23960309381951 0.11705212890445
"86" 86 2.6545183045717 1.06265745284524 5.79602361275096 0.975295346497413 3.92079462829001 0.832664168683763 5.14929617157964 0.0914494356463368
"87" 87 4.78734980518171 1.05267541927642 5.3763190445936 0.979147593113394 4.89581969104961 0.834383739930654 4.72259682422179 0.0811407272883875
"88" 88 4.07235825996084 1.05627101122511 4.68810636466453 0.983341551331018 5.97484233065819 0.829035060706262 6.67784212215973 0.0916406109041554
"89" 89 3.8274371126637 1.05094856557581 6.22329878319391 0.977216111188587 5.15289700780453 0.828439386149758 6.56943320848481 0.0744479795943669
"90" 90 2.87362233173471 1.05006132066744 6.80860733797274 0.982634943318657 3.55062240884069 0.837024997656163 6.82513904320972 0.0934093066761468
"91" 91 4.19061112156295 1.04860305590514 6.39084352039547 0.981580777703686 5.34424653226049 0.827357105363926 6.88753461677685 0.0884081831856284
"92" 92 3.84441230498717 1.05254374071282 7.13641623951901 0.980748173492422 6.02775983171972 0.839328631518311 6.72941615447581 0.0998069119760751
"93" 93 2.92137762157145 1.06281232607568 5.19057694614189 0.978685154524032 4.25760984010279 0.828047466734364 6.57462919130503 0.0793318119046851
"94" 94 4.74073268877534 1.05776826546157 4.86917995403262 0.982395908223223 6.53482985175348 0.835289741438997 6.00242434153059 0.0839529989202973
"95" 95 4.98174123605305 1.05975116782606 4.90027932973819 0.980580669286402 6.48232508514546 0.831899531155807 6.52421636074852 0.0812350255901317
"96" 96 4.9339042411952 1.06130129692507 5.44443531352219 1.00612389776206 6.17947767308366 0.85224754264003 4.15074092609851 0.141057094630147
"97" 97 5.617580725126 1.06458179567205 5.23407021342472 0.984971089817079 5.74498510492053 0.825125181839673 4.36006672554295 0.0978425461528832
"98" 98 5.24599453793848 1.06520511958617 5.23821628313759 0.986245029844357 5.95322194313395 0.838348553301127 4.11134148780748 0.113243657938715
"99" 99 3.8146066105953 1.05344578839057 6.80981803268813 0.978941183360681 4.22884662828748 0.83567213589155 4.80187935245946 0.102183479894923
"100" 100 3.94796602050276 1.04702216755779 7.39540424957773 0.981017300160948 5.09522177972651 0.828078990548074 5.49847023464004 0.0912505515766275
"101" 101 5.39824823289309 1.05841124879542 6.8073015580061 0.991658013026591 6.32040367263082 0.838674779741613 5.26083379283145 0.110181232013079
"102" 102 5.37138849686911 1.06110181784095 4.69435567630362 0.98182463539198 6.68097708200959 0.837700774663776 6.5285249305999 0.0965838567749367
"103" 103 6.74586090677614 1.07965596281161 4.67336120870593 0.985149048281704 6.68619445926722 0.837991015833699 6.59664718772705 0.0997402239843771
"104" 104 4.55623239612135 1.0562894693764 6.96264286535139 0.976589237911212 6.34451532514333 0.838245825798187 6.70727418370963 0.110234263321772
"105" 105 4.71888975695921 1.04081579947371 5.19039793708228 0.983395128951512 5.40052827096402 0.83197433284143 4.71232255675382 0.0837323467472409
"106" 106 4.14344756404542 1.05858611379657 4.729945901184 0.990050958725177 5.80012542911819 0.833408104085565 6.69081211634482 0.105507484401488
"107" 107 4.94367773900875 1.03427737656804 5.49558797981087 0.983452645578756 6.16716006136428 0.835268891264835 4.65764820367267 0.0885832833484074
"108" 108 2.21212118492551 1.05780915633497 7.34997372351602 1.01184632611857 2.71710547644461 0.862934256028973 6.56459486069179 0.136654586222607
"109" 109 4.00450993844384 1.05785017548449 5.22201342941296 0.988887456233756 5.17790849669153 0.833622847806696 6.42040034229202 0.0858103968641457
"110" 110 3.0428687269367 1.0588283088603 7.29664428280213 0.979885275120362 3.91268037659935 0.830164741379185 5.65452184357778 0.0987451362513473
"111" 111 1.62154416580584 1.06952606787166 6.63162167229396 0.974171395664927 2.86427582567083 0.841748974252944 6.54356418467042 0.0980211947546182
"112" 112 2.68986873286624 1.06325142337262 7.01887314661132 0.978676687117579 2.97473997528134 0.837711828294196 6.43307478307151 0.09152040339488
"113" 113 4.10723896446839 1.06600674488091 5.44132347291995 0.976764680358981 4.54958208252721 0.835363710517706 4.83920791666952 0.0776800047723693
"114" 114 5.7125798604964 1.05066569314927 5.1950710637448 0.982106753779346 4.84979498883074 0.828937924958819 4.42218895883685 0.0873529686405596
"115" 115 5.8314660999361 1.05362338698293 5.16196500614479 0.9778997056232 6.51040424658236 0.834978837643253 6.12616167632231 0.0808469329209386
"116" 116 4.44344260177152 1.05083564651484 7.46934041838664 0.977684967949815 5.41561602330477 0.824238889709245 5.64283481422572 0.109010032472987
"117" 117 4.95669006786753 1.07319242648184 7.88860719357181 0.978769689745079 6.12609626965563 0.829306271260235 5.88947354101778 0.131974974599408
"118" 118 3.90819250611356 1.02917872965659 7.90590548530403 0.980641120461313 6.12560454333132 0.829813867285183 5.90589155218064 0.13137112714679
"119" 119 4.49966207074079 1.05282203253833 6.38142605444125 0.977530786732493 5.68408234550231 0.833703417341232 6.04639708280064 0.0986639994862978
"120" 120 4.73351458169152 1.0593628788579 4.71724731064078 0.989102229919943 6.69364745394445 0.845565649895542 6.76911045913354 0.11546148041829
"121" 121 6.02539119754545 1.06457158672185 5.50308594637844 0.972371770571188 6.68026419735187 0.830456431098107 4.7082493034003 0.0904862099760178
"122" 122 2.76894330088896 1.06761338026706 5.27723769296915 0.954015078139456 4.72781859688096 0.833000994263871 7.29652967083549 0.118591774726525
"123" 123 3.26844376874179 1.05204512221691 6.78218314623223 0.982947063767503 3.58443756642668 0.830258266455307 6.71553588991311 0.0881858631064438
"124" 124 5.09036341376538 1.05477378700943 6.17293059184897 0.976109484241831 6.62217603713534 0.836435781573067 6.76935597142814 0.106355319952106
"125" 125 4.78989925432471 1.03658040886105 6.97352822041709 0.979584666149162 6.11413970313384 0.838246344401363 6.81042434343019 0.106691688146958
"126" 126 4.40477967770171 1.05944023032092 4.19534688589723 0.983741590100831 6.51279309014722 0.832550000708785 6.1315344352472 0.110531830117117
"127" 127 4.62382622378294 1.05002006425084 5.50101981290662 1.01866560705654 5.7525423731886 0.856563505969238 6.04548863503224 0.213591912273308
"128" 128 4.71007765396349 1.05841728282389 5.23010975072173 1.01355454719711 6.09002636484936 0.862243420622245 6.31760587644811 0.158350453271722
"129" 129 5.11366233009056 1.06106543492417 5.0708969122302 0.98731779729783 6.25459420685394 0.84040273267084 7.02256698681167 0.101802134934079
"130" 130 5.14731744823739 1.06881616076739 5.17577269399073 0.980969181567213 5.56107370860485 0.835062535399622 4.45994635797422 0.0881661171807035
